DEN,"Commonly referred to as DIA, the airport is about 18 miles northeast of Downtown Denver and is one of the busiest airports in the nation, due to it being a hub for Frontier Airlines, United Airlines, and Southwest Airlines, as well as a popular destination with other major domestic carriers. Many connecting flights are made in DIA, and this airport is more pleasant than most to kill time, with plenty of public art displays, battery charging stations, and free Wi-Fi, as well as a decent selection of restaurants for an airport. Detailed information on the airport can be found on its page."
Union Station,"Commonly referred to as DIA, the airport is about 18 miles northeast of Downtown Denver and is one of the busiest airports in the nation, due to it being a hub for Frontier Airlines, United Airlines, and Southwest Airlines, as well as a popular destination with other major domestic carriers. Many connecting flights are made in DIA, and this airport is more pleasant than most to kill time, with plenty of public art displays, battery charging stations, and free Wi-Fi, as well as a decent selection of restaurants for an airport. Detailed information on the airport can be found on its page."
Greyhound,"The bus station is downtown at 1055 19th Street, just a few blocks away from Coors Field and other central attractions. Serviced by Greyhound and skyRide buses, the station also has storage lockers that can be rented hourly. Expect the bus station to be crowded and dirty."
Black American West Museum & Heritage Center,"Set in the home of Dr. Justina Ford, Colorado's first Black woman doctor, this museum is dedicated to the contributions of Black pioneers in the Old West."
Byers-Evans House Museum,"One of Denver's great historic homes, built in 1883 by Rocky Mountain News publisher Williams Byers and elegantly furnished with original turn of the (20th) century pieces. Tour the house or catch featured exhibitions in the gallery."
Chamberlin Observatory,"Built in 1890, this working observatory is a historic landmark and a pride of the University of Denver. Star Parties and other events are open to the public."
Children's Museum of Denver,"This educational museum takes a fun, hands-on approach to learning."
Colorado State Capitol,"A gorgeous domed building at the southern edge of Downtown. Tours are available, though the big attraction for tourists is standing above the words ""One Mile Above Sea Level"" engraved into one of the steps out front."
Denver Art Museum,A huge museum with art from all over the world. You'll want to give yourself several hours to properly explore the place.
Denver Firefighters Museum,"Historical and interactive exhibits, activities and special events celebrating Denver's firefighters."
Denver Mint,"Thanks to this place, more U.S. money is made in Denver than anywhere else in the world. Fish a coin out of your pocket and look for the ""D"" on the face side (usually in the bottom right quadrant). That means the money was minted in Denver. Advance registration is required for all mint tours."
"Denver Museum of Miniatures, Dolls and Toys","Houses, trains, planes, circuses and more. Everything's tiny except the giant teddy bears!"
Denver Museum of Nature & Science,"Exhibitions, planetarium and IMAX."
Forney Transportation Museum,"Exhibitions, planetarium and IMAX."
History Colorado Center,"The center has many displays and exhibits focusing on historical sites throughout Colorado (prairie settlement, mine, Native American life, etc.). Housed in a new building, with some new exhibits. Great for families with kids and even adults; only takes 1-1 1/2 hours to take in."
Molly Brown House Museum,"This restored Victorian was once home to labor reformist, actress and Titanic survivor Margaret Brown. It now showcases that era of Colorado history through exhibits and special events."
The Money Museum,"Self-guided tour. Small room with a few displays, including $30 million in cash!"
Museo de las Americas,"Denver is home to a large and growing Latino population, and this museum focuses on their art and heritage."
