Barocchi,
the Dome,"Also known as the Duomo di Firenze is the city's beautiful Gothic cathedral, the symbol of the city. Brunelleschi's huge dome was an engineering feat of the Renaissance. A statue of Brunelleschi is sited in the piazza, with his figure looking upwards towards his dome. It is possible to climb the Dome (entrance on the side of the church), which has 464 steps. Usually has a long lineup."
Giotto's Tower,"Adjacent to the Duomo, you can climb the tower for a magnificent 360-degree view of the Duomo, Florence, and the surrounding area, and requires some tenacity to climb 414 steps."
Baptistery,Famous for its bronze doors by Andrea Pisano (14th century) and Lorenzo Ghiberti (15th century) and a beautiful interior the vault of which is decorated with 13th century mosaics (the only medieval set of mosaics in the city).
Museo dell'Opera del Duomo,"The Cathedral Museum, with artworks formerly in the Duomo and surrounding religious buildings, including sculptures by Donatello, another version of the Pietà (different from that one of Saint Peter's Basilica, in Vatican, Rome) by Michelangelo, and the losing entries in the famous contest held in 1401 to design the doors of the Baptistery. Models and drawings of the Cathedral. Worthy."
Galleria degli Uffizi,"One of the world's most famous fine art museums with collections of Renaissance paintings and sculptures from classical antiquity. Included is The Birth of Venus by Sandro Boticelli. There are often long lines and several hours' wait is common, starting even before the doors open. You can call +39 055 294883 to make a reservation in advance and walk right in, which is strongly recommended if you can spare the extra €4. The phone operator will give you an extension number which you quote at Gate 3 to pay (cash only) and get the tickets. Online booking is available but is much less convenient because it costs more, has a 24 hour waiting period, your specified time may change and you need to print an email. The restaurant/caffè has a large balcony overlooking the main piazza with good views of the Palazzo Vecchio. It is a great place to take a break for art lovers making a non-rushed visit to this fantastic collection. This cafe is rather expensive however. Street performers are often seen outside the Uffizi."
Bargello,"This museum houses one of the best examples of Renaissance and Mannerist sculpture. The works of many great Renaissance sculptors are on display here, including Michelangelo, Donatello, Ammannati, Bandinelli, Andrea and Jacopo Sansovino, Desiderio da Settignano, Giambologna, and Antonio Rossellino. The museum is near Piazza della Signoria and can be seen in a few hours."
Accademia Gallery,"Highlights are Michelangelo's David and the unfinished  Slaves. The David was recently cleaned in a controversial project. No photography is allowed inside. Wait times can be under one hour in the off-season. It is possible to reserve at the academia in advance and save yourself the long line. If you're only interested in see David and Rape of the Sabines and are short on cash you can see replicas in Palazzo Vecchio where you can also take pictures. Note that while restoring or repairing art, the gallery often showcases the replicas (you can tell because the toenail is intact for David, for example)."
Pitti Palace,On the quieter south bank of the Arno. The former Medici family palace contains galleries of their art and treasures. The Boboli gardens behind the palazzo offer wonderful walks and excellent views of the city and the countryside south of the city.
Museo Galileo,"This museum shows the evolution of the instruments used in various scientific fields such as mathematics, physics, biology, chemistry, astronomy. The room of Galileo Galilei shows some of his original instruments as well as models from his drawings. The room of Spheres and Globes houses an excellent cartographic collection. In a rather macabre twist the museum also has the middle finger of Galileo's right hand on display."
