Bedford Square,"This wonderful square was built between 1775 and 1783 as an upper middle class residential area takes its name from the Dukes of Bedford, who were the main landlords in Bloomsbury. Distinguished residents have included Lord Eldon, one of Britain's longest serving and most celebrated Lord Chancellors. This is one of the best preserved set pieces of Georgian architecture in London and the majority of the buildings are grade I listed. The gardens are private and always remain locked."
British Telecom Tower,191m (627ft) skyscraper can be seen from far away and is the sixth highest building in UK.
Bloomsbury Square,This garden square was established by Lord Southampton in 1665 and is the oldest square in London. It was opened to the public in the 1950s. The square is surrounded by a number of beautiful 18th and 19th century buildings and terraces.
Coram's Fields,"A park which is run specifically as children's play area. Facilities include a pet's corner, lawns, sports pitches and a nursery. No adults are allowed to enter the park unless they are accompanying children. All visitors are welcome to join the local kids."
Russell Square,The largest square in London. It was established in 1806 by the 5th Duke of Bedford and his statue can still be seen in the square. There is also a café.
St George's Gardens,"Peaceful gardens and interesting monuments including the daughter of Richard Cromwell, son of Oliver Cromwell."
British Museum,"A vast repository of the world's cultures, with entire sections devoted to Egyptian, Greek, and Middle Eastern artifacts, as well as the piece which united them all, the Rosetta Stone. It also includes the largest collection of mummies outside Egypt and the Elgin Marbles. A definite highlight of a trip to London. Temporary exhibitions are invariably excellent and meticulously researched, but can be expensive."
Cartoon Museum,A vast collection of cartoons and comics on display.
Charles Dickens Museum,"Museum at the former home of Dickens exhibiting writings, paintings, furniture and other items relating to the writer."
Foundling Museum,"A museum and a gallery telling the story of the Foundling Hospital, an orphanage for abandoned children founded in the eighteenth century. Massive art donations by British artists and the involvement of George Friederic Handel as a patron made this childcare organisation an early centre of art and music."
Fitzroy House,"A historic house formerly inhabited by playwright George Bernard Shaw, it is where writer L. Ron Hubbard, founder of Scientology, worked in the 1950s. The building is reminiscent of the time, complete with Adler typewriters, Grundig tape recorders, and Western Union telefax. Tours by appointment."
Petrie Museum of Egyptian Archaeology,"Formerly the teaching collection of Sir Flinders Petrie, one of Britain's greatest archaeologists, now preserved by University College London. Exhibits include beaded dresses, sculpture and wall reliefs, items of everyday use, papyri, cartonnage and pottery. Fascinating!"
Pollock's Toy Museum,"A treasure trove of antique toys exhibited in a warren of 6 rooms above the toy shop of the same name. A very charming place indeed, though the doll rooms are a bit gruesome."
Goodenough College,"Goodenough College offers accommodation for international postgraduate students. The College's student community of approx 650 represents over 90 countries, offering a unique experience through stimulating intellectual debate, fostering cross-cultural activity and providing an exceptional social environment. Tours around the College are offered every Friday at 13:00 and every first Saturday of the month at 11:00."
University College London,Includes a small but beautiful quad and an interesting Neo-Classical facade. The core buildings of UCL were built after the university's foundation in 1826.
BBC Broadcasting House,The current complex incorporates the Old Broad House built in 1930s. The façades of which feature the famous sculpture of Prospero and Ariel and the Ariel friezes by Eric Gill and Gilbert Bayes. BBC's The One Show is transmitted from the studio at the ground floor every weeknight starting from 19:00. The studio is quite visible from the plaza outside and some parts of the show are performed from outside of the studio – at the plaza.
Birkbeck Cinema,The current complex incorporates the Old Broad House built in 1930s. The façades of which feature the famous sculpture of Prospero and Ariel and the Ariel friezes by Eric Gill and Gilbert Bayes. BBC's The One Show is transmitted from the studio at the ground floor every weeknight starting from 19:00. The studio is quite visible from the plaza outside and some parts of the show are performed from outside of the studio – at the plaza.
Bloomsbury Theatre,Theatre owned by University College London staging both student and professional productions. Broad range of performances.
Dominion Theatre,A large London theatre that tends to show mainstream blockbuster-type musical productions.
Renoir,Cinema showing arthouse and foreign language films.
Walks,Bloomsbury has a number of famous walks that cover the lives and works of the Bloomsbury Group.
Bloomsbury Festival,"Takes place in the Summer around the environs of Bloomsbury, concentrated in Russel Square, and hosts arts and crafts fair, children's painting classes and dance workshops. The food stalls are good value too."
London Mathematical Society,"Based on Russell Square, where they give lectures and exhibitions, for those numerically inclined."
Gay's the Word,The leading gay-related bookshop in Britain. Been around since 1979. Fiction and a large academic stock.
Judd Books,"Large stock of used, remaindered and academic books especially in the fields of architecture, history and philosophy."
Marchmont Books,Antiquarian bookshop
Persephone Books,Specialises in 20th century fiction by women writers.
Photo Books International,Specialists in new and used photographic books
Skoob,"Wide selection of secondhand academic books, philosophy, modern literature and classics. Very popular with students."
The Brunswick Centre,Shopping centre. A large Waitrose supermarket and some other shops are located there.
Attendant,An independent coffee shop in a converted Victorian public toilet.
Mary Ward Cafe,"A selection of veggie and vegan dishes that changes daily. Cakes, pastries, and salad available as well. Busy, eat in or take away."
Ravi Shankar,Indian restaurant named after the famous Indian sitarist and composer. A superb vegetarian Thali can be had for under £10. Wash it down with a Kingfisher and you are set for the night.
Salaam Namaste,Indian restaurant with dishes from around the country.
Valtaro Snack Bar,A cheap greasy spoon offering a decent-sized plate of pasta for under £5 as well as more English dishes.
YouMeSushi,"Founded in 2008, YouMeSushi has gone from strength to strength with the opening of three additional venues. Eat in, take away or have sushi delivered straight to your door (within a 3 mile radius)."
Indian YMCA,The hostel's restaurant is open to the public.
Great Court Restaurant,"Housed in the British Museum, this restaurant offers a unique dining experience. For history buffs, its the perfect setting to sit down and enjoy familiar favorites. Reservations recommended."
Crazy Bear,"Stylish Thai restaurant, also dishes from other Asian countries."
Hakkasan,Michelin starred kitchen based on Cantonese tradition but also experimenting in other areas.
Pied à Terre,French restaurant with one Michelin star.
Sam Smith's Pubs,Check also a map with pub locations.
Fitzroy Tavern,"Owned by the Samuel Smith brewery, the Fitzroy Tavern offers good, cheap beer. The pub, which took its name from a local aristocrat, the Earl of Fitzroy, in turn inspired the name of the surrounding area of Bloomsbury, Fitzrovia, and was a popular drinking place for BBC broadcasters (including George Orwell) following the Second World War. A very friendly pub, with nice outdoor seating in summer."
The Yorkshire Grey,"Owned by the Samuel Smith brewery, the Fitzroy Tavern offers good, cheap beer. The pub, which took its name from a local aristocrat, the Earl of Fitzroy, in turn inspired the name of the surrounding area of Bloomsbury, Fitzrovia, and was a popular drinking place for BBC broadcasters (including George Orwell) following the Second World War. A very friendly pub, with nice outdoor seating in summer."
The Cock,"Owned by the Samuel Smith brewery, the Fitzroy Tavern offers good, cheap beer. The pub, which took its name from a local aristocrat, the Earl of Fitzroy, in turn inspired the name of the surrounding area of Bloomsbury, Fitzrovia, and was a popular drinking place for BBC broadcasters (including George Orwell) following the Second World War. A very friendly pub, with nice outdoor seating in summer."
The Horse and Groom,"Owned by the Samuel Smith brewery, the Fitzroy Tavern offers good, cheap beer. The pub, which took its name from a local aristocrat, the Earl of Fitzroy, in turn inspired the name of the surrounding area of Bloomsbury, Fitzrovia, and was a popular drinking place for BBC broadcasters (including George Orwell) following the Second World War. A very friendly pub, with nice outdoor seating in summer."
The Champion,"Owned by the Samuel Smith brewery, the Fitzroy Tavern offers good, cheap beer. The pub, which took its name from a local aristocrat, the Earl of Fitzroy, in turn inspired the name of the surrounding area of Bloomsbury, Fitzrovia, and was a popular drinking place for BBC broadcasters (including George Orwell) following the Second World War. A very friendly pub, with nice outdoor seating in summer."
The Blue Posts,"Owned by the Samuel Smith brewery, the Fitzroy Tavern offers good, cheap beer. The pub, which took its name from a local aristocrat, the Earl of Fitzroy, in turn inspired the name of the surrounding area of Bloomsbury, Fitzrovia, and was a popular drinking place for BBC broadcasters (including George Orwell) following the Second World War. A very friendly pub, with nice outdoor seating in summer."
The Bricklayers Arms,"Owned by the Samuel Smith brewery, the Fitzroy Tavern offers good, cheap beer. The pub, which took its name from a local aristocrat, the Earl of Fitzroy, in turn inspired the name of the surrounding area of Bloomsbury, Fitzrovia, and was a popular drinking place for BBC broadcasters (including George Orwell) following the Second World War. A very friendly pub, with nice outdoor seating in summer."
The College Arms,Pub often frequented by students from nearby University College London and Birkbeck College.
Bubbledogs,Champagne and cocktail bar serving gourmet hotdogs.
The Jeremy Bentham,"Named after the prominent political philosopher and early supporter of University College London, and located very near the main entrance to the college, the pub tends to attract more senior academics than does the College Arms."
The Lord John Russell,Authentic pub popular with University students.
The Museum Tavern,"A very good pub, offering a wide range of real ales, and some excellent food. Can get busy in the summer months."
TCR Lounge Bar,"A common drinking place for medical students from University College Hospital, who jostle alongside office workers. Gets exceptionally crowded after office hours."
The Lamb,"This beautifully preserved Victorian pub still has numerous frequenters, both young and old alike. Classic ales and some great food. Crowded after 17.00."
Astor Museum Inn Hostel,For 18-35 year-olds.
Generator Hostels London,"Right in the heart of Bloomsbury. Communal showers and cold water, all-night parties and generally an architecture obviously designed exclusively with the easy clean-up of bodily fluids in mind. It is cheap, though, in London terms."
London Central Youth Hostel,"The newest of the five London YHA hostels, with state of the art interiors, and a short walk from Regent's Park."
St Pancras International Youth Hostel,"The largest of the five London YHA hostels, minutes walk from St Pancras International railway station."
University College London,Student halls of residence which are made available for rental during academic holiday periods.
Alhambra Hotel,"Well known multi-lingual (Spanish, Portuguese, French) family hotel. Free wireless Internet."
The Apollo Hotel,"Clean, but staff somewhat unhelpful. WiFi Internet."
Avalon Hotel,"Friendly staff, good rooms, and you get to take a spare key of both your room and the front door - of course very useful if you plan on staying out late."
Excelsior Hotel,"Budget hotel situated in a quiet, leafy square close to King's Cross Station. All rooms have high speed internet connection."
Guilford House,A little shabby but well located and fair value.
Jesmond Dene Hotel,A budget hotel run on a bed & breakfast basis. Free WiFi Internet access.
Ridgemount,A budget hotel run on a bed & breakfast basis. Free WiFi Internet access.
Euston Square Hotel,Completely renovated in 2008.
Holiday Inn London Bloomsbury,Completely renovated in 2008.
George Hotel,"Historic building, full English breakfast."
Jenkins Hotel,A converted Victorian building. No lift.
Goodenough Club,5 Georgian Townhouses looking over the beautiful Mecklenburgh Square gardens. No lift.
myhotel Bloomsbury,Funky and fashionable hotel with interiors by Conran and no surprise that it is listed in Hip Hotels.
The Russell Hotel,This gothic building is a real landmark and dominates the eastern side of Russell Square. Not a cheap hotel by any means but good value for the location and standard. Popular with families. See the magnificent ballroom which was designed by the same people who created interiors for RMS Titanic.
Sanderson Hotel,"Hotel features the Courtyard Garden, Jeffrey Chodorow’s Spoon restaurant, the Long Bar, the Purple Bar, Billiard Room, Agua Bathhouse, penthouse suites and multi-service meeting spaces."
Holiday Inn London - Bloomsbury,"Hotel features the Courtyard Garden, Jeffrey Chodorow’s Spoon restaurant, the Long Bar, the Purple Bar, Billiard Room, Agua Bathhouse, penthouse suites and multi-service meeting spaces."
City Information Centre,"Hotel features the Courtyard Garden, Jeffrey Chodorow’s Spoon restaurant, the Long Bar, the Purple Bar, Billiard Room, Agua Bathhouse, penthouse suites and multi-service meeting spaces."
Bank of England,See also: Bank of England Museum.
Mansion House,"Official residence of the Lord Mayor of the City of London, completed in 1753."
Wesley's Chapel and Leysian Mission,"John Wesley, founder of the Methodist church, laid the foundation stone, preached here and is buried behind the chapel. The site also contains the Museum of Methodism."
Monument,"Designed by Sir Christopher Wren, this tall column (which can be ascended to get a great view) marks the alleged site where the Great Fire of London broke out in September 1666."
St Giles-without-Cripplegate,Medieval Grade I listed church. This church played a key role in the English Revolution and was the parish church of some of the most decisive Puritans: Oliver Cromwell was married and this where John Milton was buried. It was the home of the Morning Exercises The tower remains from the original building; the rest was destroyed in the Blitz but rebuilt based on the original plans.
St Sepulchre-without-Newgate,"Grade I listed Saxon church founded before the 12th century. The exterior was mostly constructed in the 15th century, and the interior in the 19th. The north side of te church houses a musician's chapel opened in 1955. In addition to the services there are often evening (chargeable) concerts."
Old Bailey,"This is the probably the most famous criminal court in the world, and has been London's principal criminal court for centuries. It hears cases remitted to it from all over England and Wales as well as the Greater London area. The present building dates largely from 1907 (a new block was added from 1970 for more modern facilities) and stands on the site of the infamous medieval Newgate Gaol. The Central Criminal Court is of course best known today for its association with John Mortimer's Rumpole of the Bailey character, novels and television series. Daily case listings are available at The law pages. No bags, cameras, drink, food or mobile phones—no facilities for safekeeping. Children under 14 not admitted."
St Paul's Cathedral,"The great domed cathedral of St Paul's, designed by Sir Christopher Wren to replace the Gothic medieval cathedral destroyed in 1666 in the Great Fire of London, was built between 1675–1710. Of the most famous London sights, St Paul's is the one most conveniently located for the Barbican. It's a significant building in British history, having been the site of the funerals of several British military leaders (Nelson, Wellington, Churchill), and significantly held peace services marking the end of the two world wars. The cathedral is also famous for its Whispering Wall, as well as its stunning view over the city. The crypt is also open to the public, holding the tombs of Nelson, Wellington and Christopher Wren. It is possible to sidestep the admission charge by entering for one of the midday services, even if you don't take part; however you'd still need a ticket to get to the top.  Photography not allowed."
