WC1
"Maple St, W1T 4BG"
"Bloomsbury Sq, WC1A 2LS"
"93 Guilford St, WC1N 1DN"
WC1B
"Heathcote St, WC1N 1AB"
"Great Russell St, WC1B 3DG"
"35 Little Russell St, WC1A 2HH"
"48 Doughty St, WC1N 2LX"
"40 Brunswick Sq, WC1N 1AZ"
"35/37 Fitzroy St, W1T 6DX"
"Malet Pl, WC1E 6BT"
"1 Scala St, W1T 2HL"
"183 Euston Road, NW1 2BE"
"Mecklenburgh Sq, WC1N 2AB"
"Gower St, WC1E 6BT"
Portland Place
"43 Gordon Sq, Birkbeck, University of London, WC1H 0PD"
"15 Gordon St, WC1H 0AH"
"268-269 Tottenham Court Rd, W1T 7AQ"
"Brunswick Sq, WC1N 1AW"
"Brunswick Sq, WC1N 1AW"
"Brunswick Sq, WC1N 1AW"
"Brunswick Sq, WC1N 1AW"
"66 Marchmont St, WC1N 1AB"
"82 Marchmont St, WC1N 1AG"
"39 Burton St, WC1H 9AL"
"59 Lamb's Conduit St, WC1N 3NB"
"99 Judd St, WC1H 9NE"
"66 The Brunswick, WC1N 1AE"
"66 The Brunswick, WC1N 1AE"
"27A Foley Street, W1W 6DY"
"42 Queen Sq, WC1N 3AQ"
"133-5 Drummond St, NW1 2HL"
"68 Millman St, WC1N 3EF"
"66 Marchmont St, WC1N 1AG"
"37 Tottenham Court Road, W1T 1BY"
41 Fitzroy Square
"The British Museum, Great Russell St, WC1B 3DG"
"26-28 Whitfield St, W1T 2RG"
"8 Hanway Pl, W1T 1HD"
"34 Charlotte St, W1T 2NH"
"34 Charlotte St, W1T 2NH"
"16 Charlotte St, W1T 2NA"
46 Langham Street
27 Great Portland Street
"128, Great Portland Street"
13 Wells Street
81 Newman Street
31 Gresse Street
"18 Store St, WC1E 7DH"
"70 Charlotte St, W1T 4QG"
"31 University St, WC1E 6JL"
"91-93 Marchmont St, WC1N 1AL"
"49 Great Russell St, WC1B 3BA"
"183 Tottenham Court Rd, W1T 7PE"
"94 Lamb's Conduit Street, WC1N 3LZ"
"27 Montague St, WC1B 5BH"
"Compton Pl, (off 37 Tavistock Pl), WC1H 9SE"
"104 Bolsover St, W1W 5NU"
"79-81 Euston Rd, NW1 2QE"
Bloomsbury and King's Cross
"17-19 Argyle St, WC1H 8EJ"
"60 Argyle St, WC1H 8EP"
"46-47 Cartwright Gdns, WC1H 9EL"
"42 Argyle Sq, WC1H 8AL"
"6 Guilford St, WC1N 1DR"
"27 Argyle St, WC1H 8EP"
"65-67 Gower St, WC1E 6HJ"
"152-156 N Gower St, NW1 2LU"
"Coram Street, WC1N 1HT"
"58-60 Cartwright Gdns, WC1H 9EL"
"45 Cartwright Gdns, WC1H 9EH"
"23 Mecklenburgh Sq, WC1N 2AB"
"11-13 Bayley St, Bedford Sq, WC1B 3HD"
"1-8 Russell Sq, WC1B 5BE"
"50 Berners St, W1T 3NG"
"Coram Street London, WC1N 1HT United Kingdom"
"St. Paul's Churchyard, EC4M 8BX"
"St. Paul's Churchyard, EC4M 8BX"
"St. Paul's Churchyard, EC4M 8BX"
"49 City Rd, EC1Y 1AU"
"49 City Rd, EC1Y 1AU"
"Fore St, Cripplegate, EC2Y 8DA"
"Holborn Viaduct, London"
"Holborn Viaduct, London"
Ludgate Hill
Ludgate Hill
Ludgate Hill
"Byward St, EC3R 5BJ"
"West Smithfield, EC1A 9DS"
"38 City Road, EC1Y 1AU"
Fournier St
"Aldersgate St, EC1A 4EU"
"Little Britain, City of London"
"Lower Thames St, EC3R 6DN"
Rood Ln and Eastcheap EC3
"St Mary at Hill, EC3R 8EE"
"1 Bow Lane, EC4M 9EE"
"39 Walbrook, EC4N 8BN"
"Inner Temple Ln, EC4Y 7BB"
London Wall (NB: this is a street!)
Guildhall Yard (off Gresham St)
"17 Gough Square, EC4A 3DE"
Threadneedle St
"3F, Robin Brook Centre, EC1A 7BE"
Silk St
"Guildhall Library, Aldermanbury, EC2P 2EJ"
"St John’s Gate, St John’s Lane, EC1M 4DA"
"Guildhall Library, Aldermanbury, London EC2V 7HH"
"12 Walbrook London, EC4N 8AA"
"Silk St, EC2Y 8DS"
Fore St
St. Mary Axe
St. Mary Axe
St. Katherines Dock
1 Lime St
Paternoster Sq
13-14 Basinghall St
56 Leadenhall St
Cannon St
"Bride Ln, EC4Y 8EE"
30 St. Mary Axe
51 Lime St
122 Leadenhall
20 Fenchurch St
20 Fenchurch St
Barbican Centre
Art Gallery
"Spitalfields Market, E1 6EG"
"Barnard's Inn Hall, Holborn"
"Barnard's Inn Hall, Holborn"
"Barnard's Inn Hall, Holborn"
"Barnard's Inn Hall, Holborn"
"Barnard's Inn Hall, Holborn"
"Departing from Coach stop 3, Bulleid Way"
"Departing from Coach stop 3, Bulleid Way"
"Departing from Coach stop 3, Bulleid Way"
"Departing from Coach stop 3, Bulleid Way"
"Departing from Coach stop 3, Bulleid Way"
"Departing from Coach stop 3, Bulleid Way"
"225 Central Markets, EC1A 9LH"
EC1R 4QA
"131 Aldersgate St, EC1A 4JQ"
"Unit 5, Cheapside, EC2V 6BJ"
"1-23 City Rd, EC1Y 1AG"
"10 Paternoster Square, EC4M 7DX"
"Cherry Tree Walk Centre, Whitecross St, EC1Y 8NX"
"12 Goswell Rd, EC1M 7AA"
"5–6 Fore St, EC2Y 9DT"
"44-46 St John St, EC1M 4DF"
"14 Farringdon St, EC4A 4AB"
"1 Whitecross St, EC1V 9AB"
"93 Bishopsgate, London EC2M 3XD"
Barbican Tube Station
"Swedeland Court, 202 Bishopsgate, EC2M 4NR"
