Anheuser-Busch Brewery,"The place where all Anheuser-Busch beers are made for the mid-west U.S. Free tour, with free beer samples for those 21+, of one of the world's largest breweries and bottling factories, housed in beautiful red-brick buildings. The Clydesdale horses and their historic truck and stables are one of the biggest attractions on the tour, as are the brew house and packaging facility. The adjacent beer garden serves really good food and offers cheap samples of most Anheuser-Busch branded beer, from Goose Island to Hoegaarden."
Cathedral Basilica of St. Louis,"This Roman Catholic church contains the most mosaic art in one site in the world—83,000 square feet, installed by a family of artists who used more than 41 million tiles with more than 7,000 colors."
Citygarden,"Citygarden gives kids fountains to play in and sculptures they can related to (Pinocchio, big heads, etc.); art lovers the chance to experience 24 sculptures by some of modern art's great masters (Leger, Herring, etc.); and everyone an award-winning garden in the midst of the city where you can relax and beat the heat. If you'd like to eat in the gardens, there is a cafe that is open for lunch or you can pick up something from the many takeout places nearby."
City Museum,"For the young or young at heart. Don't let the name fool you; this place is a blast! The City Museum is a huge playground built in an old 11-story warehouse made largely out of architectural artifacts from around St. Louis collected by an eccentric millionaire. There are concessions inside the museum as well as bar service by local brewery Schlafy. While there are plenty of artifacts on display, it's not so much a museum as it is a collection of mazes, obstacle courses, tunnels, airplanes suspended in midair, and chutes and ladders. There's a Ferris wheel on the roof, a ten-story spiral slide, an enormous pipe organ, and lots of ways to get lost. Take care when parking; lots of nearby lots tout the ""City Museum"" on their signs, but only the one on the east side of 16th street (guarded by huge snake sculptures) is officially associated with the museum. Expect to stay here for 3-4 hours."
Contemporary Art Museum,Shares a courtyard with the Pulitzer Foundation for the Arts.
Eads Bridge,"This bridge was the first to cross the Mississippi at St. Louis, the first primarily steel structure in the world, and the longest bridge in the world at completion in 1874. This overlooked landmark is worth checking out for the Eiffel Tower-like steel lattice that still holds up cars and the MetroLink to this day. It connects to Washington Avenue, and is directly adjacent to Laclede's Landing, both are centers of St. Louis nightlife. The easiest way to access Eads Bridge is via the Laclede's Landing MetroLink stop. Well worth a walk across as one of the best places to see the sun setting with the Gateway Arch and city providing a very artistic view of the area."
Forest Park,"One of the nation's largest city parks, with 1,293 acres, is open to the public for golf, tennis, baseball, bicycling, boating, fishing, handball, ice skating, in-line skating, jogging, cricket, rugby and more. The park is also home to the St. Louis Science Center, the art museum, the zoo, and a history museum, all with free admission. Forest Park is really at the heart of St. Louis. It was also the site of the 1904 Louisiana Purchase World's Fair, which lays claim to serving the first hot dogs, hamburgers, and ice cream cones. You cannot visit St. Louis without hearing about, driving by, or exploring Forest Park."
Missouri History Museum,Check out the Charles Lindbergh exhibit and see a life size replica of the original Spirit of St. Louis.
Saint Louis Art Museum,"Located in Forest Park atop a large lake and hill, it is one of the leading comprehensive art museums in the nation. They host visiting displays which in the past have included such exhibits as the Angels of the Vatican and the Royal Tombs of Ur."
Saint Louis Science Center,"A fun, hands-on science museum. Equipped with an IMAX Dome theater, a planetarium, floors of interactive activities, and several traveling exhibits, the Science Center has something for everyone (though the majority is geared solidly toward the under-12 set; older teens and adults will find the exhibits somewhat elementary). The museum is actually just south of Forest Park; the planetarium, however, is within the park itself, and an enclosed walkway above I-64 connects the two."
Saint Louis Zoo,Recognized as one of the top five zoos in the nation. The zoo has both indoor and outdoor exhibits as well as a children petting zoo. There are several centers for in depth exploration and learning.
Jefferson National Expansion Memorial,"A large park with plenty of big lawns, wood areas, and a few ponds. The park and the nearby parking garage are currently closed for renovation; however, the arch remains open."
very small,"Designed by Eero Saarinen, this is the world's tallest national monument, built to be a symbolic gateway to the West. The icon of the city, the Arch is right on the bank of the Mississippi and offers an inspiring sight to travelers coming in from Illinois. There's a gift shop and a confectionery, as well as a inspiring film called ""Monument to the Dream,"" about the building of the Arch; it is an exceptionally well-made and memorable tribute to how a vision was made tangible. But the main attraction is the Journey to the Top; you'll ride a unique tram/elevator—essentially a cross between a cable railway and a ferris wheel—up either the north or south leg to the top of the arch, where you can see for dozens of miles into Illinois and Missouri. The cars are very small; they hold five very close friends or relatives each, and are not suitable for the claustrophobic. Tickets sell out during peak season; expect a long wait on major summer holidays to go to the top."
Old Courthouse,"The site of the historic Dred Scott slavery case which was one of the seeds of the Civil War. While the Park is under construction, you can buy tickets to the arch here. The Courthouse also holds exhibits from the now-closed Museum of Westward Expansion, formerly located underneath the Arch."
Old Cathedral,"The first cathedral built west of the Mississippi River (1834), this is the only building that was spared when the park was constructed. It's still an active Roman Catholic basilica."
Mildred Lane Kemper Art Museum,"Recently voted the best Museum in St. Louis by the Riverfront Times. One of the world's finest University art collections, it is also the oldest art museum west of the Mississippi River - it was founded in 1881. It is now housed in a new facility designed by Pritzker Prize winning architect, Fumihiko Maki. Among the permanent collection are pieces by Pablo Piccasso, Rembrandt, Max Ernst, Jackson Pollock, Robert Rauschenberg, Juan Gris, Alexander Calder, and a separate department dedicated to currency called the Newman Money Museum."
Missouri Botanical Garden,"You will never believe that you are in the middle of a very urban scene when you step behind the walls of this site. A place of serenity, beauty, and relaxation amid the bustle of the city, the Missouri Botanical Garden is open every day except Christmas Day (Dec 25). Stroll the grounds, explore the home gardening resources, or enjoy one of the many events throughout the year. This is a ""must see."" One of the main features is the Climatron, a very large geodesic dome that houses a good portion of the Garden's 80 acres of horticultural offerings. 2006 featured hundreds of glass sculptures around the park by glass artist Chihuly."
Pulitzer Foundation for the Arts,Experience modern art in a stunning avant-garde structure. A permanent installation titled Joe by Richard Serra is large enough for visitors to walk through and experience first-hand. The uber-modern concrete building was designed by Pritzker Prize-winning architect Tadao Ando.
Wainwright Building,"Designed by Louis Sullivan and built in 1890, it is one of the world's first skyscrapers. Its current occupant is the Missouri Secretary of State."
"""DEWEY DEFEATS TRUMAN""","This 110-year-old National Historic Landmark has been restored and redeveloped as a dynamic mixed-use project that includes shopping, dining and entertainment. For history buffs, this is where the classic photo of Harry Truman holding the incorrect ""DEWEY DEFEATS TRUMAN"" newspaper was taken."
HealthWorks Kids' Museum,"An absolutely unique museum designed to teach kids proper tooth-care habits, though adults may find it amusing too. There is a complete set of three-foot tall fiberglass teeth which light up when the hostess brushes them with a six-foot-long toothbrush. A spirited presentation and a short video get kids excited about the subject. The theatre is much-visited by local elementary schools, and you can arrange to tag along with a group or schedule your own trip. This expanded museum replaces the previous Delta Dental Health Theatre Museum."
America's Incredible Pizza Company,"An absolutely unique museum designed to teach kids proper tooth-care habits, though adults may find it amusing too. There is a complete set of three-foot tall fiberglass teeth which light up when the hostess brushes them with a six-foot-long toothbrush. A spirited presentation and a short video get kids excited about the subject. The theatre is much-visited by local elementary schools, and you can arrange to tag along with a group or schedule your own trip. This expanded museum replaces the previous Delta Dental Health Theatre Museum."
America's Convention Center,"Over 500,000 square feet of exhibit space, also featuring formal reception rooms, presentation-style rooms, a theatre, and the Edward Jones Dome next door."
World Chess Hall of Fame,The not-for-profit World Chess Hall of Fame hosts exhibitions about the sport of chess. It is host to both the U.S. and World Chess Halls of Fame.
The Central West End,"An eclectic, cosmopolitan neighborhood home to soaring turn-of-the-century mansions on St. Louis's famous private streets, chic dining, and upscale boutique shopping with a great mix of cafés, independent bookstores (check out Left Bank Books on Euclid and McPherson), art galleries, salons, antique and modern furniture such as a Design Within Reach and Centro, coffee houses, and youthful energy. One of the more lively neighborhoods in St. Louis that borders Forest Park, the CWE is a great destination for a day of walking around or a weekend stay."
Lumiere Place,"Just north of the Arch and part of Downtown St Louis, and the second oldest neighborhood after Soulard, ""the Landing"" is what amounts to St. Louis' old town. You are likely to enjoy the cobblestone streets and the shops, restaurants, bars, nightclubs, and a bizarre wax museum. Recently constructed right next to the Landing is a new $400+ million dollar casino complex called Lumiere Place, featuring a Four Seasons hotel, nightclubs, 75,000 square feet of casino gaming, and an innovative multi-colored light feature spanning 24 vertical floors on the exterior of the building that lights up St. Louis' skyline. Not many original buildings on the Landing remain, as the area is constantly undergoing new developments and rehabbing of older buildings. Nightly horse-drawn carriage rides take you around the Landing and much of Downtown."
Soulard Market,"Although strangely named (""un soulard "" means ""a drunk"" in French.), the Soulard neighborhood, covering the waterfront for several miles south of the Arch, is the oldest in St. Louis. The Georgian (or should that be Louis XVI?) style houses surround a central farmer's market which supplies the city's residents, supermarkets, and restaurants with the freshest, and inexpensive, local produce. This is the oldest farmer's market west of the Mississippi, and is open year-round every weekend. There are a number of bars and restaurants in the neighborhood as well, and visitors can celebrate French heritage with the locals during Mardi Gras or on Bastille Day."
The Loop,"Delmar Blvd. straddles the city limits and University City. This street was named in 2007 by the American Planning Association as one of the 10 Great Streets in America. This is the area known as The Loop to most locals, however, usage of the term outside of the St. Louis area is not as popular due to more famous Chicago loop. Rock and roll legend Chuck Berry performed every month at the historic Blueberry Hill restaurant until late 2014. Although most popular with the 20-something hipster crowd, something can be found for everyone. Boutique shopping, ethnic restaurants (including many Thai establishments), upscale dining, independent movie theatres, record stores, nightlife opportunities, a few music concert venues, and people watching are among the many things to do on the Loop. Many restaurants feature outdoor dining to take in the bustling street scene."
Lafayette Square and Park,"A fashionable area with tree-lined streets, Victorian and Second Empire townhomes, and shopping and cafés surrounds the city's oldest park - chartered in 1836. In the warmer months, the park features small concerts, picnic locations, art fairs, and a team that recreates old-style baseball - but it is walkable all year round. Twice yearly are walking tours of the area that will take you inside some of the more remarkable Victorian mansions."
