NYC Information Center at Macy's Herald Square,"Multilingual FAQ stations, free WiFi, plenty of guides and maps, and the city’s only aboveground MetroCard machine."
NYC Information Center–City Hall,"Guides, maps, pamphlets, brochures, and bilingual staff available for questions."
NYC Information Center–South Street Seaport,"Guides, maps, pamphlets, brochures, and bilingual staff available for questions."
Bryant Park,"Located behind the Main Library, this shady park is an excellent spot to relax and get some good views of the surrounding skyscrapers. The park has free wireless internet, a children's carousel, several food and drink kiosks, and seasonal shows such as Fashion Week."
Greenacre Park,"One of New York's many ""pocket parks,"" Greenacre is a small plot of green space and an excellent place to relax, with a nice waterfall in the back, plenty of seats and tables, and lots of shade, plus a small tea shop."
Paley Park,"Another pocket park which is celebrated among landscape architects and urban designers, Paley is a great place to relax, with plenty of chairs below a canopy of trees and a waterfall spanning the entire back wall of the park."
Chrysler Building,"One of the most recognizable and favored structures of New York, the Chrysler was the world's tallest building when completed in 1930, but lost that title to the nearby Empire State Building less than a year later. But what it lost in fame it makes up for in beauty, with its gorgeous, instantly recognizable Art Deco crown."
Citigroup Center,"With its distinctive slanted roof and long, slender base columns, this building is another great skyscraper with a grand atrium."
Daily News Building,"This Art Deco design classic, completed in 1930 to a design by Raymond Hood, was made famous by the Superman films; to be admired are the extreme verticality of the design, the understated setbacks and functional design. The newspaper no longer holds offices here, but the foyer is well worth a visit if passing, if only to see the newspaper's giant globe sculpture and wall weather stations."
Empire State Building,"A legend from the moment it was finished in 1931, the Empire State Building was easily the tallest building not just in New York, but the entire world for many years before being overtaken by another New York landmark - the twin towers of the World Trade Center. With the destruction of those two buildings, the Empire State Building was once again the tallest building in the city, but that lasted less than eleven years. But even though it's no longer the tallest, it remains iconic and one of the city's biggest tourist attractions. Expect long lines, and a lot of them - you'll have to wait in line to pass through a security checkpoint, wait in line to get tickets, wait in line for the elevators, and then make your way through the crowd on the outdoor observation deck on the 86th floor. One way to deal with the lines is to buy an express line ticket, which will bring you to the front of any line, but it will more than double the cost of your ticket. Another option is to visit very early in the day or late in the evening, when the lines will be considerably shorter. Despite the long lines and inevitable tourist kitsch, the views are excellent and the experience of being outdoors on top of New York City is a great one. Note that hawkers outside the building may try to tell you there is a very long line inside and that they can get you tickets to cut the line for some exorbitant price; before believing them, go inside and check the actual wait time which is clearly written on the electronic boards."
