Sergels torg,"Stockholm's busiest city square. The black-and-wine Harlequin concrete floor was laid in the 1960s, and while the design remains controversial, and the place used to have bad reputation for drug-dealing and violence, it attracts thousands of people daily for meet-ups, political demonstrations, flash mobs, and retailing."
Klara Church,"Close to the Sergels Torg square, and one of the few buildings in the district to survive the 1960s redevelopment, this large redbrick church was built in the 16th century, following the demolition of a 13th-century nunnery. The 116-metre steeple is the second tallest in Scandinavia and one of the ten tallest buildings in Sweden, making it a significant landmark. The artwork inside includes an 18th-century altarpiece. In the cemetery, a stone commemorates the 18th-century songwriter Carl Michael Bellman. As of 2013, a building between the church and Vasagatan has been torn down, temporarily making the church visible from the Central Station, until obscured by a newly built hotel."
Adolf Fredrik's church,"Adolf Fredrik's church, named by King Adolf Fredrik, was built in 1768-1774. The exterior is quite intact, while the interior was radically changed in the 1890s. In the church, there is a monument to the philosopher René Descartes, who spent his last years in Stockholm tutoring Queen Christina, until dying of pneumonia. The church is known for the grave of Prime Minister Olof Palme, who was assassinated in 1986. The grave can be found just to the south of the church building."
Olof Palme assassination scene,"A plaque in the pavement marks Sweden's most infamous crime scene. On February 28, 1986, Swedish Prime Minister Olof Palme was walking home from the cinema with his wife, where an unknown man came up behind him, shot him down, and escaped along Tunnelgatan. Though 30 years of investigation, no one has been convicted for the murder. The street nearby was renamed Olof Palmes gata to commemorate the victim."
National Museum,"This beautiful building is closed down for repairs, expected to open in 2018. The museum has a free temporary exhibition at Nationalmuseum Design in Kulturhuset Stadsteatern, Sergels torg; underground: T-Centralen; Accessible entrance: Beridaregatan 5. M-F 11:00–19:00,  Sa Su 11:00–17:00."
The House of Culture,"Kulturhuset, a 1970s concrete building in the middle of the modernist city centre, is operated by the city, and a venue for art exhibitions and performances. The building also houses the Stockholm City Theatre, a library (with a comic book department) and a teen activity centre. On ground level there is an Internet café."
Mediterranean Museum,"Contains ancient artefacts of the Mediterranean and the Middle East, with a distinguished collection from Cyprus, and an Egyptian mummy exhibition."
Dansmuseet,Displays objects related to concert dancing.
Strindbergsmuseet,Dedicated to fin de siècle writer August Strindberg. Closed Monday.
miniWorld Stockholm,"A gallery with dioramas of contemporary international toys, such as Barbie, Disney, Star Wars, Playmobil and McDonald's."
